"customer_state","customer_unique_id","total_spend"
"RJ","0a0a92112bd4c708ca5fde585afaa872",13664.08
"SC","46450c74a0d8c5ca9395da1daac6c120",9553.02
"ES","763c8b1c9c68a0229c42c9fc6f662b93",7274.88
"MS","dc4802a71eae9be1dd28f5d788ceb526",6929.31
"SP","ff4159b92c40ebe40454e3e6a7c35ed6",6726.66
"MG","4007669dec559734d6f53e029e360987",6081.54
"GO","5d0a2980b292d049061542014e8960bf",4809.44
"PB","48e1ac109decbb87765a3eade6854098",4681.78
"RS","c8460e4251689ba205045f3ea17884a1",4655.91
"DF","edf81e1f3070b9dac83ec83dacdbb9bc",4194.76
"PA","5e713be0853d8986528d7869a0811d2b",4042.74
"PE","3fec1a05177762f279472253113d568a",3792.59
"BA","76a08544f95591acec0d4c976054c459",3358.24
"MT","adfa1cab2b2c8706db21bb13c0a1beb1",3242.84
"MA","1b76903617af13189607a36b0469f6f3",3195.73
"PR","895617ab63a9ad8881d9470f7427cd25",3126.50
"TO","81d8bf17c9e450228efeedd2603edfaa",2784.16
"CE","149b43a4776ea0a773ac75bc58830fb9",2734.11
"RO","d3ef55d6de8e4be1d4b905e8169224b5",2452.12
"AL","03adb96012772d4374285b6a701f3da9",2269.98
"PI","a7ca51c5d161c34444a45ff503b78b0c",1989.75
"AM","23841d4abf4583dec7773f3bd2fe267d",1853.75
"RN","6ae98e2bdf8d09e86cd16479fa511f9e",1821.82
"SE","2f0ce2fb407114dbfa866f22c7cf9e9d",1729.98
"AP","7a44821edf14b2b2ef3ffb2c6e837e5b",1482.42
"AC","62a459e5629b03dd73134964df732077",1251.70
"RR","858ec48dbaddd52e729e8acdc8d2d108",994.77
