"seller_id","total_orders","total_revenue","avg_review_score"
"4869f7a5dfa277a7dca6462dcf3b52b2",1132,229472.63,4.12
"53243585a1d6dc2643021fd1853d8905",358,222776.05,4.08
"4a3ca9315b744ce9f8e9374361493884",1806,202999.12,3.80
"fa1c13f2614d7b5c4749cbc52fecda94",585,194042.03,4.34
"7c67e1448b00f6e969d365cea6b010ab",982,189417.67,3.35
"7e93a43ef30c4f03f38b393420bc753a",336,176431.87,4.21
"da8622b14eb17ae2831f4ac5b9dab84a",1314,162723.37,4.07
"7a67c85e85bb2ce8582c35f2203ad736",1160,142325.49,4.23
"1025f0e2d44d7041d6cf58b6550e0bfa",915,140513.14,3.85
"955fee9216a65b617aa5c0531780ce60",1287,135241.70,4.05
"46dc3b2cc0980fb8ec44634e21d2718e",521,128111.19,4.18
"6560211a19b47992c3666cc44a7e94c0",1854,123585.82,3.91
"620c87c171fb2a6dd6e8bb4dec959fc6",740,115283.90,4.22
"7d13fca15225358621be4086e1eb0964",565,113628.97,4.00
"5dceca129747e92ff8ef7a997dc4f8ca",325,112155.53,3.99
"1f50f920176fa81dab994f9023523100",1404,107431.41,3.98
"cc419e0650a3c5ba77189a1882b7556a",1706,106555.98,4.07
"a1043bafd471dff536d0c462352beb48",718,101901.16,4.19
"3d871de0142ce09b7081e2b9d1733cb1",1080,94963.20,4.11
"edb1ef5e36e0c8cd84eb3c9b003e486d",166,79284.55,4.43
"ccc4bbb5f32a6ab2b7066a4130f114e3",187,74004.62,4.28
"f7ba60f8c3f99e7ee4042fdef03b70c4",219,68780.00,4.21
"8581055ce74af1daba164fdbd55a40de",387,66120.05,4.23
"fe2032dab1a61af8794248c8196565c9",294,65959.61,4.38
"cca3071e3e9bb7d12640c9fbe2301306",712,65629.96,3.85
"04308b1ee57b6625f47df1d56f00eedf",94,60130.60,3.88
"522620dcb18a6b31cd7bdf73665113a9",174,57168.49,3.90
"17e34d8224d27a541263c4c64b11a56b",255,56363.24,4.14
"37be5a7c751166fbc5f8ccba4119e043",272,56345.54,4.30
"7ddcbb64b5bc1ef36ca8c151f6ec77df",334,55773.56,3.90
"218d46b86c1881d022bce9c68a7d4b15",388,55604.28,4.14
"de722cd6dad950a92b7d4f82673f8833",339,55426.10,4.16
"25c5c91f63607446a97b143d2d535d31",158,55421.96,3.70
"f5a590cf36251cf1162ea35bef76fe84",117,53201.78,4.24
"ceaec5548eefc6e23e6607c5435102e7",203,52917.18,4.15
"e882b2a25a10b9c057cc49695f222c19",57,52774.27,4.60
"966cb4760537b1404caedd472cc610a5",75,51886.04,3.85
"b2ba3715d723d245138f291a6fe42594",337,51676.88,4.11
"2bf6a2c1e71bbd29a4ad64e6d3c3629f",30,50628.90,4.19
"f8db351d8c4c4c22c6835c19a46f01b0",667,50626.40,4.22
"17f51e7198701186712e53a39c564617",56,48019.00,4.34
"8160255418d5aaa7dbdc9f4c64ebda44",385,47297.39,3.84
"77530e9772f57a62c906e1c21538ab82",320,47156.40,4.05
"4e922959ae960d389249c378d1c939f5",420,46030.37,3.90
"c826c40d7b19f62a09e2d7c5e7295ee2",354,45643.74,4.04
"850f4f8af5ea87287ac68de36e29107f",187,45355.36,4.29
"b33e7c55446eabf8fe1a42d037ac7d6d",152,44985.17,4.15
"ba90964cff9b9e0e6f32b23b82465f7b",38,44212.50,4.42
"c3cfdc648177fdbbbb35635a37472c53",278,43966.58,4.45
"4d6d651bd7684af3fffabd5f08d12e5a",369,43906.30,4.18
"eeb6de78f79159600292e314a77cbd18",83,43739.84,4.43
"e9779976487b77c6d4ac45f75ec7afe9",657,43260.44,4.17
"b839e41795b7f3ad94cc2014a52f6796",33,42829.00,4.03
"2eb70248d66e0e3ef83659f71b244378",202,42753.51,2.71
"d91fb3b7d041e83b64a00a3edfb37e4f",535,42235.73,4.10
"17a053fcb14bd219540cbde0df490be0",125,41103.04,4.21
"391fc6631aebcf3004804e51b40bcf1e",526,40543.88,3.95
"834f3294fba9f932f56edc879193f925",66,39907.50,4.55
"712e6ed8aa4aa1fa65dab41fed5737e4",79,39907.00,3.46
"634964b17796e64304cadf1ad3050fb7",268,39465.10,3.86
"7142540dd4c91e2237acb7e911c4eba2",319,37608.26,4.04
"c3867b4666c7d76867627c2f7fb22e21",245,37275.40,3.85
"ea8482cd71df3c1969d7b9473ff13abc",1146,37205.51,3.95
"7178f9f4dd81dcef02f62acdf8151e01",203,37100.20,4.03
"c70c1b0d8ca86052f45a432a38b73958",261,36537.37,4.30
"06a2c3af7b3aee5d69171b0e14f0ee87",392,36531.94,4.00
"59417c56835dd8e2e72f91f809cd4092",18,36459.00,4.28
"7299e27ed73d2ad986de7f7c77d919fa",338,34725.43,4.42
"9c0e69c7bf2619675bbadf47b43f655a",157,34473.57,4.00
"e9bc59e7b60fc3063eb2290deda4cced",216,34343.06,3.94
"dbc22125167c298ef99da25668e1011f",406,33885.68,4.23
"1835b56ce799e6a4dc4eddc053f04066",423,33550.61,3.59
"76d5af76d0271110f9af36c92573f765",131,33461.60,4.08
"5c243662ce92d84573bfaff24c3e3700",98,33329.02,4.13
"2528513dd95219a6013d4d05176e391a",161,32689.10,3.95
"88460e8ebdecbfecb5f9601833981930",248,32410.65,3.35
"855668e0971d4dfd7bef1b6a4133b41b",312,32258.16,3.73
"70eea00b476a314817cefde4aad4f89a",108,32204.55,4.35
"7681ef142fd2c19048da7430856b5588",59,32017.81,4.13
"e59aa562b9f8076dd550fcddf0e73491",70,31574.30,4.25
"0241d4d5d36f10f80c644447315af0bd",238,31561.50,4.28
"87142160b41353c4e5fca2360caf6f92",305,31410.98,4.37
"70a12e78e608ac31179aea7f8422044b",315,30858.53,3.77
"53e4c6e0f4312d4d2107a8c9cddf45cd",473,30311.55,4.05
"0b90b6df587eb83608a64ea8b390cf07",164,29274.80,4.00
