"city","state","total_orders","avg_order_value"
"divinópolis","MG",137,276.38
"divinopolis","MG",137,276.38
"campina grande","PB",75,274.84
"porto seguro","BA",56,270.05
"petrolina","PE",64,258.57
"porto velho","RO",118,246.05
"macapa","AP",54,244.04
"macapá","AP",54,244.04
"angra dos reis","RJ",85,243.31
"araruama","RJ",77,239.95
"barreiras","BA",52,239.87
"joão pessoa","PB",248,236.09
"joao pessoa","PB",256,234.64
"rio branco","AC",70,231.90
"ananindeua","PA",87,230.84
"nova lima","MG",98,230.57
"monte alegre do sul","SP",64,216.50
"birigüi","SP",76,214.67
"rondonópolis","MT",63,212.60
"birigui","SP",79,211.33
"rondonopolis","MT",65,210.53
"jaguariúna","SP",68,209.89
"jaguariuna","SP",68,209.89
"vitoria da conquista","BA",92,209.70
"vitória da conquista","BA",92,209.70
"belém","PA",439,207.84
"linhares","ES",65,207.63
"belem","PA",443,207.00
"maceio","AL",247,206.89
"maceió","AL",240,206.20
"palmas","TO",91,204.87
"araguari","MG",54,204.22
"teresina","PI",279,203.80
"campo grande","MS",320,203.03
"ourinhos","SP",80,201.32
"pato branco","PR",53,199.99
"videira","SC",57,199.64
"viçosa","MG",90,199.09
"vicosa","MG",90,199.09
"jatai","GO",54,198.91
"jataí","GO",54,198.91
"tubarao","SC",60,198.87
"tubarão","SC",60,198.87
"aracaju","SE",225,198.36
"guara","DF",129,198.09
"nova friburgo","RJ",151,197.98
"balneario camboriu","SC",100,192.17
"balneário camboriú","SC",100,192.17
"natal","RN",207,191.26
"criciuma","SC",93,190.79
"criciúma","SC",93,190.79
"muriaé","MG",63,187.51
"caxias do sul","RS",224,187.01
"jaboatão dos guararapes","PE",131,186.92
"patos de minas","MG",100,186.05
"jaboatao dos guararapes","PE",135,186.04
"santa cruz do sul","RS",63,185.71
"muriae","MG",64,185.53
"santa maria","RS",194,185.20
"amparo","SP",67,185.08
"cruzeiro","DF",104,184.91
"marília","SP",196,184.70
"marilia","SP",196,184.70
"paranaguá","PR",59,183.33
"paranagua","PR",59,183.33
"botucatu","SP",101,183.20
"itajai","SC",120,182.94
"itajaí","SC",120,182.94
"lins","SP",55,182.51
"araxá","MG",78,182.25
"araxa","MG",78,182.25
"itapetininga","SP",78,182.18
"florianópolis","SC",570,181.76
"florianopolis","SC",570,181.76
"caruaru","PE",63,181.34
"varginha","MG",88,181.02
"gravataí","RS",112,180.99
"gravatai","RS",112,180.99
"pouso alegre","MG",131,180.56
"são luís","MA",337,180.56
"bagé","RS",64,180.29
"nova serrana","MG",51,179.29
"novo hamburgo","RS",123,178.97
"bage","RS",65,178.45
"sao luis","MA",353,178.18
"caratinga","MG",62,177.96
"manaus","AM",140,177.49
"guarapari","ES",67,176.78
"rio verde","GO",66,176.48
"fortaleza","CE",654,175.50
"presidente prudente","SP",161,175.37
"barra mansa","RJ",123,175.20
"barbacena","MG",80,174.65
"cascavel","PR",148,173.90
"recife","PE",620,173.69
"jaraguá do sul","SC",87,173.52
"uberaba","MG",191,173.20
"jaragua do sul","SC",89,172.56
"anapolis","GO",113,172.36
"anápolis","GO",106,172.16
"juiz de fora","MG",427,171.95
"londrina","PR",306,171.91
"camboriu","SC",93,171.03
"rio das ostras","RJ",137,169.80
"goiânia","GO",674,169.64
"guaratinguetá","SP",96,169.61
"goiania","GO",691,169.31
"guaratingueta","SP",98,168.74
"tatuí","SP",75,168.42
"tatui","SP",75,168.42
"cuiabá","MT",245,168.33
"lavras","MG",83,168.22
"lavras mg","MG",83,168.22
"cuiaba","MT",248,167.68
"taguatinga","DF",231,167.49
"timóteo","MG",54,166.35
"timoteo","MG",54,166.35
"francisco beltrao","PR",52,166.14
"itabuna","BA",62,165.50
"são sebastião","SP",60,165.42
"sao sebastiao","SP",60,165.42
"governador valadares","MG",141,165.16
"itajuba","MG",94,165.05
"itajubá","MG",94,165.05
"camacari","BA",69,164.95
"sao joao da boa vista","SP",82,164.60
"são joão da boa vista","SP",82,164.60
"teresópolis","RJ",116,164.52
"betim","MG",203,164.32
"caraguatatuba","SP",89,164.14
"ceilandia","DF",112,163.98
"dourados","MS",64,163.27
"vitória","ES",379,162.91
"vitoria","ES",379,162.91
"teresopolis","RJ",120,162.87
"chapecó","SC",103,162.85
"chapeco","SC",103,162.85
"joao monlevade","MG",51,162.06
"joão monlevade","MG",51,162.06
"salvador","BA",1241,161.87
"volta redonda","RJ",232,161.63
"brasília","DF",1767,161.38
"rio de janeiro","RJ",6923,161.16
"brasilia","DF",1951,161.07
"toledo","PR",71,160.78
"passo fundo","RS",113,160.74
"bauru","SP",273,160.20
"mage","RJ",109,160.19
"poços de caldas","MG",120,159.91
"macaé","RJ",236,159.40
"itauna","MG",57,159.30
"itaúna","MG",57,159.30
"paracatu","MG",63,159.10
"maringa","PR",271,159.05
"maringá","PR",271,159.05
"piracicaba","SP",369,158.97
"assis","SP",84,158.84
"macae","RJ",239,158.82
"pocos de caldas","MG",122,158.72
"fernandópolis","SP",53,158.66
"lago sul","DF",83,158.66
"fernandopolis","SP",53,158.66
"porto alegre","RS",1379,158.48
"vila velha","ES",336,157.99
"petrópolis","RJ",240,157.97
"petropolis","RJ",240,157.97
"itabira","MG",79,157.39
"são josé do rio preto","SP",334,157.27
"jundiaí","SP",572,156.98
"sao jose do rio preto","SP",335,156.91
"jundiai","SP",565,156.89
"curitiba","PR",1524,156.80
"olinda","PE",93,156.50
"matao","SP",52,156.48
"matão","SP",52,156.48
"feira de santana","BA",185,156.09
"ferraz de vasconcelos","SP",111,156.07
"sete lagoas","MG",128,155.67
"campos dos goytacazes","RJ",261,155.64
"rio grande","RS",125,155.38
"nova iguacu","RJ",442,155.12
"lages","SC",84,155.01
"araras","SP",94,154.97
"nova iguaçu","RJ",436,154.95
"votuporanga","SP",63,154.92
"foz do iguaçu","PR",87,154.47
"foz do iguacu","PR",87,154.47
"niterói","RJ",845,153.45
"santos","SP",713,153.26
"niteroi","RJ",849,153.00
"braganca paulista","SP",146,152.78
"bragança paulista","SP",146,152.78
"joinville","SC",264,152.53
"brusque","SC",60,152.05
