"product_category_name","total_revenue","avg_review_score","top_seller","top_state"
"beleza_saude",1263138.54,4.14,"edb1ef5e36e0c8cd84eb3c9b003e486d","SP"
"relogios_presentes",1206075.33,4.02,"4869f7a5dfa277a7dca6462dcf3b52b2","SP"
"cama_mesa_banho",1050936.61,3.90,"4a3ca9315b744ce9f8e9374361493884","SP"
"esporte_lazer",993656.51,4.11,"218d46b86c1881d022bce9c68a7d4b15","SP"
"informatica_acessorios",919640.54,3.93,"25c5c91f63607446a97b143d2d535d31","SP"
"moveis_decoracao",736282.47,3.90,"1025f0e2d44d7041d6cf58b6550e0bfa","SP"
"cool_stuff",637258.51,4.15,"7a67c85e85bb2ce8582c35f2203ad736","SP"
"utilidades_domesticas",634542.60,4.06,"955fee9216a65b617aa5c0531780ce60","SP"
"automotivo",594363.10,4.07,"8581055ce74af1daba164fdbd55a40de","SP"
"ferramentas_jardim",486432.45,4.04,"1f50f920176fa81dab994f9023523100","SP"
"brinquedos",484769.90,4.16,"46dc3b2cc0980fb8ec44634e21d2718e","SP"
"bebes",412117.47,4.01,"5dceca129747e92ff8ef7a997dc4f8ca","SP"
"perfumaria",400212.94,4.16,"620c87c171fb2a6dd6e8bb4dec959fc6","SP"
"telefonia",323839.40,3.95,"53243585a1d6dc2643021fd1853d8905","SP"
"moveis_escritorio",275224.49,3.49,"7c67e1448b00f6e969d365cea6b010ab","SP"
"papelaria",231300.21,4.19,"3d871de0142ce09b7081e2b9d1733cb1","SP"
"pcs",222963.13,4.18,"53243585a1d6dc2643021fd1853d8905","SP"
"pet_shop",214591.41,4.19,"f45122a9ab94eb4f3f8953578bc0c560","SP"
"eletroportateis",191571.48,4.15,"59417c56835dd8e2e72f91f809cd4092","SP"
"instrumentos_musicais",191523.78,4.15,"f5a590cf36251cf1162ea35bef76fe84","SP"
"eletronicos",160376.64,4.04,"8b321bb669392f5163d04c59e235e066","SP"
"consoles_games",158000.22,4.02,"522620dcb18a6b31cd7bdf73665113a9","SP"
"fashion_bolsas_e_acessorios",153656.90,4.14,"6560211a19b47992c3666cc44a7e94c0","SP"
"construcao_ferramentas_construcao",145509.39,4.05,"b839e41795b7f3ad94cc2014a52f6796","SP"
"malas_acessorios",140429.98,4.32,"5dceca129747e92ff8ef7a997dc4f8ca","SP"
"eletrodomesticos_2",113585.39,4.14,"e882b2a25a10b9c057cc49695f222c19","SP"
"casa_construcao",83207.97,3.94,"213b25e6f54661939f11710a6fddb871","SP"
"eletrodomesticos",83195.60,4.17,"d91fb3b7d041e83b64a00a3edfb37e4f","SP"
"agro_industria_e_comercio",72530.47,4.00,"e59aa562b9f8076dd550fcddf0e73491","SP"
"moveis_sala",69427.26,3.90,"1554a68530182680ad5c8b042c3ab563","SP"
"telefonia_fixa",59622.99,3.68,"b37c4c02bda3161a7546a4e6d222d5b2","SP"
"casa_conforto",58828.74,3.83,"2528513dd95219a6013d4d05176e391a","SP"
"climatizacao",55024.96,3.97,"7901646fdd36a55f564ffaf2dbccaaf7","SP"
"audio",50738.40,3.83,"7d13fca15225358621be4086e1eb0964","SP"
"portateis_casa_forno_e_cafe",47445.71,4.30,"ba90964cff9b9e0e6f32b23b82465f7b","SP"
"livros_interesse_geral",46856.88,4.45,"527801b552d0077ffd170872eb49683b","SP"
"moveis_cozinha_area_de_servico_jantar_e_jardim",46457.37,3.96,"b32be1695eb7ec5f10f72d9610a12527","SP"
"construcao_ferramentas_iluminacao",41308.00,4.05,"1025f0e2d44d7041d6cf58b6550e0bfa","SP"
"construcao_ferramentas_seguranca",40544.52,3.84,"4a3ccda38b2129705f3fb522db62ca31","SP"
"industria_comercio_e_negocios",39745.61,4.10,"0dd184061fb0eaa7ca37932c68ab91c5","SP"
"alimentos",29393.41,4.22,"cbd996ad3c1b7dc71fd0e5f5df9087e2","SP"
"market_place",28378.47,4.02,"062ce95fa2ad4dfaedfc79260130565f","SP"
"construcao_ferramentas_jardim",25769.74,4.05,"d51e0a403fe2e689ece6c73359d96e12","SP"
"artes",24202.64,3.94,"c31eff8334d6b3047ed34bebd4d62c36","SP"
"fashion_calcados",23767.47,4.23,"048c2757535328e0d7dac690ad3c0aae","SP"
"bebidas",22505.90,4.05,"e9779976487b77c6d4ac45f75ec7afe9","SP"
"sinalizacao_e_seguranca",21509.23,4.09,"55d3daac7c404d59e51c2aa2f4dc5a23","SP"
"moveis_quarto",20278.78,4.12,"3ade81dab5a172b88e1871c28ae05260","SP"
"livros_tecnicos",19149.03,4.37,"ba143b05f0110f0dc71ad71b4466ce92","SP"
"construcao_ferramentas_ferramentas",15903.95,4.44,"2a167ca73899c85001a837d8fb4962f6","SP"
"alimentos_bebidas",15270.47,4.32,"a3dd39f583bc80bd8c5901c95878921e","SP"
"fashion_roupa_masculina",10797.82,3.64,"aaed1309374718fdd995ee4c58c9dfcd","SP"
"fashion_underwear_e_moda_praia",9541.55,3.98,"4bf2f4ee540798a61f9636d12cd9cc80","SP"
"artigos_de_natal",8800.82,4.02,"d93919c944be9cff128f6c9cb899eacb","SP"
"tablets_impressao_imagem",7528.41,4.12,"0db783cfcd3b73998abc6e10e59a102f","SP"
"cine_foto",6949.36,4.21,"ce69a8021d18961dd2a40269b7c2c293","SP"
"musica",6034.35,4.21,"522620dcb18a6b31cd7bdf73665113a9","SP"
"dvds_blu_ray",5999.39,4.08,"491a5ada3aa1678414e990262c4bbdc1","SP"
"livros_importados",4639.85,4.40,"bc2ac6b95e1accce9858528ee566c17e","SP"
"artigos_de_festas",4485.18,3.77,"6bbcb8924baf70b7fe2fe2097e8cd407","SP"
"moveis_colchao_e_estofado",4368.08,3.82,"00ee68308b45bc5e2660cd833c3f81cc","SP"
"portateis_cozinha_e_preparadores_de_alimentos",3968.53,3.27,"ba90964cff9b9e0e6f32b23b82465f7b","SP"
"fashion_roupa_feminina",2889.44,3.78,"dc8798cbf453b7e0f98745e396cc5616","SP"
"fashion_esporte",2144.50,4.26,"e7df4cd29ab5abab70fb0783ddb53987","SP"
"la_cuisine",2054.99,4.00,"c731d18cea9bf687ffee82a241c25b11","SP"
"artes_e_artesanato",1814.01,4.13,"55f7a3319d80f7fdf078b8f03e6725fe","SP"
"fraldas_higiene",1567.59,3.26,"270d3ef21830ad0ecf3a6c53d08a533a","SP"
"pc_gamer",1545.95,3.33,"1961c3e1272bfeceb05d0b78b5bbfdaf","SP"
"flores",1110.04,4.42,"e62b2d6ac10570a035a30bafcf01d263","SP"
"casa_conforto_2",760.27,3.63,"4a3ca9315b744ce9f8e9374361493884","SP"
"cds_dvds_musicais",730.00,4.64,"4e922959ae960d389249c378d1c939f5","SP"
"fashion_roupa_infanto_juvenil",569.85,4.50,"28ea411b354f14b1a494be4e79f0ce02","SP"
"seguros_e_servicos",283.29,2.50,"48162d548f5b1b11b9d29d1e01f75a61","DF"
